Country;S;;N;;E;;W;;Capital;latitude;;longitude;
Afghanistan;29.383;N;38.367;N;75.000;E;60.500;E;Kabul;34.267;N;69.100;E
Albania;39.650;N;42.500;N;21.067;E;19.267;E;Tirane;41.167;N;19.483;E
Algeria;18.967;N;37.083;N;12.000;E;8.667;W;Algiers;36.417;N;3.067;E
Andorra;42.433;N;42.650;N;1.783;E;1.400;E;Andorra la Vella;42.300;N;1.317;E
Angola;18.033;S;4.400;S;24.000;E;11.667;E;Luanda;8.500;S;13.150;E
Antigua and Barbuda;16.933;N;17.733;N;61.667;W;61.917;W;West Indies;17.183;N;61.467;W
Argentina;55.067;S;21.800;S;53.683;W;73.500;W;Buenos Aires;36.283;S;60.000;W
Armenia;38.833;N;41.283;N;46.617;E;43.450;E;Yerevan;40.100;N;44.300;E
Australia;55.050;S;9.267;S;167.950;E;72.583;E;Canberra;35.133;S;149.067;E
Austria;46.383;N;49.017;N;17.150;E;9.517;E;Vienna;48.117;N;16.217;E
Azerbaijan;38.400;N;41.883;N;50.550;E;44.767;E;Baku;40.283;N;49.550;E
Bahamas;20.917;N;27.267;N;72.750;W;79.250;W;Nassau;25.050;N;77.200;W
Bahrain;25.000;N;26.283;N;50.717;E;50.383;E;Manama;26.100;N;50.283;E
Bangladesh;20.583;N;26.633;N;92.583;E;88.050;E;Dhaka;23.417;N;90.250;E
Barbados;13.050;N;13.333;N;59.433;W;59.667;W;Bridgetown;13.050;N;59.283;W
Belarus;51.250;N;56.133;N;32.767;E;23.167;E;Minsk;53.517;N;27.300;E
Belgium;49.500;N;51.500;N;6.367;E;2.583;E;Brussels;50.500;N;4.200;E
Belize;15.883;N;18.483;N;87.583;W;89.200;W;Belmopan;17.167;N;88.283;W
Benin;6.233;N;12.417;N;3.833;E;0.833;E;Porto Novo;6.217;N;2.417;E
Bhutan;26.717;N;28.333;N;92.083;E;88.750;E;Thimphu;27.300;N;89.450;E
Bolivia;22.900;S;9.667;S;57.450;W;69.667;W;La Paz;16.183;S;68.083;W
Bosnia and Herzegovina;42.567;N;45.267;N;19.500;E;15.833;E;Sarajevo;43.517;N;18.250;E
Botswana;26.900;S;17.767;S;29.333;E;20.000;E;Gaborone;24.433;S;25.567;E
Brazil;33.750;S;5.250;N;28.833;W;73.983;W;Brasilia;15.467;S;47.533;W
Brunei;4.000;N;5.067;N;115.417;E;114.083;E;Bandar Seri Begawan;4.517;N;115.000;E
Bulgaria;41.250;N;44.217;N;28.600;E;22.350;E;Sofia;42.450;N;23.183;E
Burkina Faso;9.400;N;15.083;N;2.417;E;5.500;W;Ouagadougou;12.150;N;1.300;W
Burundi;4.467;S;2.300;S;30.833;E;28.983;E;Bujumbura;3.150;S;29.167;E
Cambodia;9.917;N;14.500;N;107.583;E;102.417;E;Phnom Penh;11.317;N;104.533;E
Cameroon;1.650;N;13.083;N;16.200;E;8.750;E;Yaounde;3.500;N;11.333;E
Canada;41.683;N;83.100;N;52.617;W;141.000;W;Ottawa;45.267;N;75.417;W
Cape Verde;14.800;N;17.200;N;22.667;W;25.417;W;Praia;15.017;N;23.333;W
Central African Republic;2.217;N;11.017;N;27.467;E;14.333;E;Bangui;4.217;N;18.350;E
Colombia;4.233;S;15.833;N;67.000;W;81.733;W;Bogota;4.333;N;74.000;W
Comoros;12.417;S;11.367;S;44.533;E;43.200;E;Moroni;11.400;S;43.150;E
