Lake Name;Southernmost point;hemisphere;Northernmost point;hemisphere;Easternmost point;hemisphere;Westernmost point;hemisphere
Caspian Sea;36.560;N;47.038;N;54.755;E;46.876;E
Superior;46.434;N;48.984;N;-84.440;E;-92.059;E
Victoria;-2.986;N;0.477;N;34.836;E;31.619;E
Huron;43.021;N;46.512;N;-79.799;E;-84.715;E
Michigan;41.623;N;46.095;N;-84.767;E;-87.975;E
Tanganyika;-8.732;N;-3.370;N;31.192;E;29.083;E
Baikal;51.451;N;55.814;N;109.916;E;103.743;E
Great Bear Lake;64.812;N;67.034;N;-117.498;E;-125.133;E
Malawi;-14.437;N;-9.522;N;35.245;E;34.015;E
Great Slave Lake;60.822;N;62.778;N;-108.961;E;-117.739;E
Erie;41.385;N;42.888;N;-78.882;E;-83.464;E
Winnipeg;50.308;N;53.883;N;-96.290;E;-99.271;E
Ontario;43.182;N;44.237;N;-76.073;E;-79.800;E
Ladoga;59.902;N;61.770;N;32.948;E;29.833;E
Balkhash;44.785;N;46.850;N;79.290;E;73.417;E
Onega;60.880;N;62.903;N;36.473;E;34.258;E
Titicaca;-16.596;N;-15.244;N;-68.569;E;-70.027;E
Nicaragua;11.026;N;12.119;N;-84.775;E;-85.942;E
Athabasca;58.596;N;59.606;N;-106.026;E;-111.157;E
Taymyr;73.820;N;75.131;N;105.818;E;99.270;E
